date,risk_pct,mean_pm25,median_pm25,p90_pm25,Wildfire_count,Wildfire_acres,transport_ready_acres,raw_Wildfire_influence,wind_from_deg,wind_speed_kmh,smoke_transport_score,smoke_transport_score_5day
2025-08-03,16.318785578747626,61.02107430509983,10.18401064583378,212.06836327697624,8.0,22322.138081745856,7462.257633004742,3731.128816502371,212.09477711796112,7.276041666666667,693.8211105376585,250.56947367668386
2025-08-04,16.318785578747626,54.68772041532321,8.06074113116518,200.115834555171,19.0,1354.0704368918841,24.936305119768722,18.897909567502502,264.5628422446106,11.367708333333333,1308.8271422261332,510.68238976507166
2025-08-05,15.749525616698293,48.21903130034181,5.219456854410715,178.54186098318613,9.0,4582.165408551778,142.09646295911784,89.12605926713557,236.8669852365335,9.408333333333331,1139.3218221898996,716.7783221810539
2025-08-06,15.180265654648956,47.1712397850595,6.1032102566246875,175.28983143231537,8.0,4209.548927587258,101.12374653777395,61.82593503601126,264.3402832543359,9.170833333333334,792.3631471696241,827.5950762775165
2025-08-07,14.800759013282732,46.565312590319685,5.234185733241506,171.11910745250222,28.0,79.5392039730564,1.5327223546438227,1.497597467349902,255.3924481805496,14.65625,52.3811165763476,797.3428677399354
2025-08-08,14.231499051233396,42.754691866189795,1.735541853206301,167.09070293561993,7.0,1741.4914844515265,0.5143129503253884,0.4295227458759111,282.3759040754355,12.527083333333334,36.961579889684344,665.9709616103407
2025-08-09,18.975332068311197,53.28643146640362,2.411138914229894,229.8642864640665,5.0,14.812708238405794,0.23626497482356076,0.13673835417913577,247.77437056387424,8.68125,12.985309961590662,406.80259515743217
2025-08-10,14.800759013282732,43.59748031018383,3.350038936372771,165.932390197582,9.0,7145.092719593977,0.024233070829221628,0.01321038930620762,267.5786482585211,8.177083333333332,0.4782162995913824,179.03387397937053
2025-08-11,14.990512333965844,45.71241132408464,4.094334369248086,163.78973298280675,4.0,16376.063708377047,19.8439003440048,9.9219501720024,269.1996928412623,6.902083333333334,1.6198422174864557,20.885212988943
2025-08-12,15.370018975332068,45.497214080641726,4.7121168179605215,158.53364435535786,7.0,228.37509304149086,0.9144894854593308,0.4572447427296654,229.66353397523204,7.014583333333333,3.5725800592379793,11.123505685521076
2025-08-13,15.559772296015181,48.59404664352197,9.072866705929114,164.76695791236645,9.0,1961.1404856077795,0.12744383522646596,0.10376052251354771,245.8026967635912,12.2125,3.1548268677943767,4.362155081143081
2025-08-14,16.888045540796963,52.371340145336575,8.623998074113349,179.11516452511955,18.0,12649.350695229492,39.975691537247194,30.795162932130772,246.4994912034076,11.555208333333333,6.777154079918737,3.120523904808697
2025-08-15,16.129032258064516,51.09719364525279,4.954224979073745,181.64187535291234,4.0,2983.46,4.585358616325838,3.1425627905916453,233.9317593403499,10.280208333333333,11.372268550134514,5.299334354917323
2025-08-16,16.129032258064516,53.456024064792416,5.285094984200336,186.20777329554298,6.0,315.8749546617021,7.0174448698832945,4.657341709824626,230.09617442235808,9.955208333333331,11.05779921732271,7.186925754884574
2025-08-17,15.559772296015181,51.30686815819046,4.517931329885302,180.2090274414976,13.0,540.8880184819222,2.911435830863498,1.7909374020686712,240.81156776536344,9.227083333333333,9.000511632352568,8.272512069507492
2025-08-18,15.749525616698293,51.60985962071879,5.0400818585821145,187.3647155453594,15.0,18295.259658361185,26.372768399143045,13.186384199571522,221.04795110249904,6.478125,4.63050079172548,8.567646854293713
2025-08-19,15.939278937381404,50.08543765802604,5.753070956587715,181.651976077782,51.0,9476.313693225757,1678.0350861551053,839.0175430775527,209.7590280941324,6.195833333333333,131.93661549406843,33.59953913712365
2025-08-20,16.508538899430743,56.365494862599725,7.599885385299359,206.2114666497369,6.0,3467.305996693796,1.1240439366938746,0.8190689602589462,255.85086138957675,10.930208333333333,298.0931031614674,90.94370605939022
2025-08-21,23.719165085388994,69.31285723894204,10.07647992014317,270.7076843851479,13.0,1186.0151404812884,0.15572096500864288,0.09967223156143483,277.08743515347817,9.601041666666667,254.64416473400493,139.66097916272668
2025-08-22,33.206831119544596,70.91473306378757,18.057193591868952,232.96435423367282,13.0,147084.56953533017,0.05803278211165251,0.029016391055826256,287.2731319289559,6.492708333333333,168.0884670432931,171.47857024491478
2025-08-23,37.19165085388994,83.11807738007586,18.35068523648757,282.75108900535724,5.0,12.015858,0.03305208313270935,0.016526041566354677,347.1509959331005,6.739583333333334,0.2063501046247121,170.59374010749463
2025-08-24,43.643263757115754,105.28070134802647,30.956692357626135,308.0391294165575,11.0,137983.19379426524,1.3750720145935227,0.7475999168231032,248.6672129045122,8.155208333333333,0.14656346570072445,144.2357297018211
2025-08-25,33.396584440227706,92.64557340412688,22.830726213726297,264.71180735263044,13.0,554.8779792370808,7.873006627800518,3.936503313900259,125.19841407087904,5.467708333333333,0.8628965586541967,84.78968838125844
2025-08-26,33.396584440227706,88.95879448630907,24.190583686511257,267.2536329907078,16.0,874.1093854,123.09169109722485,61.54584554861243,146.41950397337962,5.7125,10.837238175517157,36.02830306956089
2025-08-27,33.206831119544596,98.3916655293695,17.664472677851702,326.90519594150766,37.0,12275.002137399999,2575.691154498776,1414.1259907963417,236.0085764580984,8.235416666666666,234.99041553900028,49.40869276870232
2025-08-28,33.206831119544596,104.68802981762698,25.813818659663536,341.36729156247054,25.0,7571.792800219948,5.018388712517588,3.0417011585314944,236.4412323729869,9.091666666666669,514.6514062798631,152.29770400375
2025-08-29,19.54459203036053,99.20754770545359,24.16157070267234,389.18595084337153,13.0,392.39990707761814,1.2231523535601168,0.6115761767800584,330.71640239904616,5.8875,437.703298180628,239.80905094673545
2025-08-30,11.76470588235294,66.98921105953053,23.529186539283767,94.23589404181067,7.0,33478.50510291167,152.68156590104294,76.34078295052147,188.13029968332972,5.538541666666667,295.40287761127905,298.7170471572604
2025-08-31,24.667931688804554,69.30805124336335,23.81898176785981,95.63949258280837,2.0,79.81,0.013140877273286661,0.006919036908754129,100.239837831192,7.897916666666667,27.512124972959146,302.0520245167488
2025-09-01,13.092979127134724,67.50233171472132,23.504251596895394,92.74415586256482,3.0,36.952742964977276,0.09401971689522315,0.047009858447611574,99.7665178755305,7.355208333333333,23.03402326219766,259.6607460613883
2025-09-02,20.30360531309298,64.41471901241313,17.162773587955627,93.36424906800845,44.0,3257.19601093849,2.1833586310232374,1.0916793155116187,57.33518624726895,6.052083333333334,15.450437648960328,159.82055233520776
2025-09-03,25.616698292220114,65.56941629388426,20.5454956777303,96.22258827137551,24.0,3618.267636224701,116.38390982587752,58.19195491293876,230.6325406760265,6.405208333333333,9.126367762285915,74.10516625153933
2025-09-04,29.22201138519924,65.66230562367107,27.58189266818444,55.715254488207066,31.0,177.2271875446663,0.047864856400383064,0.02661153057926853,304.66247636390864,8.339583333333334,20.708081715458462,19.16620707237521
2025-09-05,81.02466793168881,80.22963141908622,45.61843650832343,63.56372972546999,7.0,90.84345422448209,0.7957201855745394,0.4121720044583673,81.37764364309879,7.769791666666666,17.747062173355452,17.213194512454475
2025-09-06,84.0607210626186,93.55876232881847,52.01012297767037,113.6431673166087,4.0,5802.388852163204,14.056550360955349,7.028275180477674,214.31123484764225,7.091666666666667,12.844875920393614,15.175365044093663
2025-09-07,22.39089184060721,63.78324605665986,24.351839467156164,63.33802322695772,4.0,14.1137911,0.2980401231232242,0.1490200615616121,167.45972286958488,7.059374999999999,2.6112232298547915,12.607522160272556
2025-09-08,11.76470588235294,53.60828404676765,14.70256501234438,54.609698394457816,32.0,59124.05463761274,8.958034248815485,4.479017124407743,119.70700252011484,6.270833333333334,2.914926545242701,11.365233916863914
2025-09-09,12.7134724857685,64.1354505724607,19.603907588620434,65.24962843412943,43.0,21462.69924900983,2.6266811153937466,1.3133405576968733,356.1405669302218,7.201041666666667,3.2150181317612594,7.866621200124475
2025-09-10,27.514231499051235,69.02158260045005,16.92546993587762,64.13230942555647,10.0,111.283548285677,2.902843541706142,1.4631137795627207,262.6874730773685,7.560416666666667,2.052645411762959,4.727737847805975
2025-09-11,10.62618595825427,59.27826313071261,7.1709250155769,59.898689778986174,21.0,69917.77614951719,3094.7464510270534,1570.5838238962294,240.4824509818548,7.6125,237.38946899947194,49.63665646362164
2025-09-12,10.815939278937382,58.31657861552845,5.689478232148517,54.65244579142511,24.0,13066.671282750167,174.69214440225278,87.34607220112639,252.8917127405832,6.927083333333333,563.5078514392574,161.81598210550214
2025-09-13,13.282732447817835,60.572765663466704,7.502040922461106,64.22227493656193,2.0,1172.1886689523992,75.19726397460825,39.71355503658998,222.28122597031447,7.921875,507.99592845066405,262.8321824865864
2025-09-14,11.76470588235294,57.1358540226424,10.881064843166877,55.715776320349,2.0,135.99184732539905,11.579271898960485,8.445631441304304,241.26863128088164,10.940625,355.48717541858593,333.28661394395135
2025-09-15,9.108159392789373,41.54186885066015,4.26953901739479,22.748527919929757,11.0,11637.45298673529,1056.0066498299411,823.9785220478624,244.8792646655944,11.704166666666666,155.9360302628381,364.06329091416643
2025-09-16,9.67741935483871,41.77318111456414,3.4883774274124395,31.093484339730505,2.0,11929.655825769694,4.516481973135177e-06,2.2582409865675884e-06,82.95951141013666,6.152083333333333,298.8688834951972,376.3591738133115
2025-09-17,9.867172675521822,45.43714374574063,6.3,34.48867900100691,25.0,28322.94890049949,0.2265948952594937,0.11329744762974685,83.79392742144177,6.955208333333333,248.89967831014837,313.4375391874896
2025-09-18,10.815939278937382,46.205466137123025,7.625215646629346,39.322610631081474,8.0,81751.76583450001,0.5868207930421152,0.2934103965210576,100.6628349597695,5.058333333333334,164.87937075319337,244.81422764799555
2025-09-19,10.62618595825427,45.2714839669596,6.662587708288764,42.414924788410644,15.0,1019.7684020570914,1.0958342883626495,0.5479171441813248,91.33340362010028,4.683333333333334,0.21887089634669024,173.76056674354766
2025-09-20,10.62618595825427,46.383495223131916,6.589027808420668,45.851564211517015,5.0,183.95,0.8426602961399398,0.4323900644568066,180.57190344822104,7.696875,0.3673121186142513,142.6468231147029
2025-09-21,10.436432637571158,45.05479364496744,6.309508603542486,40.077516107784255,8.0,10.23,0.06815473669623648,0.049899679790862586,225.5391382900354,10.982291666666669,0.38187869708712063,82.94942215508087
2025-09-22,9.487666034155598,42.135952178071236,4.958235060623171,21.503706327790383,43.0,1047.1465841579732,132.40684677044004,103.82903567582004,271.90096012785034,11.7625,15.831120687473113,36.33571063054582
2025-09-23,14.041745730550284,48.529402146277235,9.284173413107231,43.98229516900409,20.0,18787.48471,2.089678809976706,1.044839404988353,95.26325103774876,5.679166666666667,36.59833631411388,10.67950374272992
2025-09-24,10.62618595825427,45.12366937070295,5.452562980669977,44.09460516836049,16.0,10198.202289607812,51.09888853104512,25.54944426552256,115.6283381631402,6.358333333333333,35.356801070278486,17.70708977751628
2025-09-25,10.436432637571158,44.11887899162914,4.338407327685963,39.27215944084283,32.0,2876.42643204,71.60064699185519,35.80032349592759,154.23619632749455,6.965625,35.39161297398255,24.71194994858994
2025-09-26,20.49335863377609,47.73861599416213,5.213297157372651,44.46337946166553,31.0,470.28498738344877,5.217240793483172,4.839715452732515,244.14237460868964,13.914583333333333,21.12987170213897,28.861548549600307
2025-09-27,37.571157495256166,66.96136755158064,14.523696860955482,169.0756623533949,2.0,0.22000000000000003,6.057296128883127e-08,3.028648064441564e-08,125.25735017547451,6.344791666666667,17.54388631488214,29.204101675082114
2025-09-28,28.27324478178368,55.52121380528917,9.57642159283024,75.92962505513746,2.0,0.3808384601375153,2.703735235917823e-06,1.3518676179589115e-06,149.98047132422636,5.509375,8.611979548385683,23.606830321936474
2025-09-29,11.385199240986717,46.3386017658508,6.253267927649272,49.027520986543266,31.0,2044.223673538275,21.524028374241762,11.835226157447659,154.19870880921872,8.247916666666667,2.743227496403262,17.08411560716143
2025-09-30,9.487666034155598,41.832985496575844,3.0237147104152133,26.99621399766804,17.0,51810.59464566428,717.7713961750212,494.265358643855,174.1702915916651,10.329166666666667,78.2821333633025,25.662219685025423
2025-10-01,8.918406072106261,40.10802377348051,2.64247996679353,11.046516399059541,6.0,39501.52805555687,1915.8201267957584,992.3682170673308,165.3168005790244,7.769791666666667,325.39867620305665,86.51598058520895
