sensor_key,site_id,name,city_name,source,latitude,longitude,date,pm25
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-19,7.95
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-22,3.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-25,2.55
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-28,2.8
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-31,12.95
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-11-03,5.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-11-06,2.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-11-09,2.8
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-11-12,17.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-11-15,4.8
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-11-18,4.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-11-21,8.6
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-11-24,4.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-11-27,20.2
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-11-30,15.35
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-12-03,28.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-12-06,9.85
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-12-09,3.4
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-12-12,2.05
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-12-15,2.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-12-18,2.65
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-12-21,20.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-12-24,1.2
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-12-27,1.3
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-12-30,5.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-01-02,6.8
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-01-05,4.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-01-08,3.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-01-11,9.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-01-14,15.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-01-17,15.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-01-20,6.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-01-23,6.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-01-26,6.2
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-01-29,19.1
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-02-01,10.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-02-04,6.3
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-02-07,8.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-02-10,15.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-02-13,7.4
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-02-16,2.3
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-02-19,5.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-02-22,3.1
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-02-25,5.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-02-28,6.3
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-03-03,6.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-03-06,1.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-03-09,1.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-03-12,3.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-03-15,2.1
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-03-18,3.1
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-03-21,3.8
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-03-24,3.4
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-03-27,7.2
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-03-30,4.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-04-02,3.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-04-05,1.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-04-08,5.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-04-11,1.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-04-14,1.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-04-17,2.6
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-04-20,1.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-04-23,2.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-04-26,6.6
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-04-29,3.2
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-05-02,1.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-05-05,5.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-05-08,1.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-05-11,1.8
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-05-14,2.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-05-17,2.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-05-20,2.2
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-05-23,2.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-05-26,5.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-05-29,0.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-06-01,3.1
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-06-04,3.6
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-06-07,3.8
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-06-10,3.8
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-06-13,2.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-06-16,6.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-06-19,1.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-06-22,5.2
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-06-25,4.3
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-06-28,7.2
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-01,6.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-04,15.4
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-07,5.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-10,3.4
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-13,8.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-16,7.1
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-19,5.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-22,7.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-25,8.2
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-28,16.6
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2022-07-31,9.6
